station_id,station_name,distance_to_route_km,best_route_idx,energy_used_kWh,arrival_SOC_%
14038,Taj The Trees Charging Station,0.436,71,0.5677,98.74
14755,Sagar Tech Plaza B Wing premises (Private Charger-Green Energy Powered),3.984,5,0.5681,98.74
15225,"Marwah Steel Private Limited,Marwah House (Private Charger)",3.986,5,0.5682,98.74
13290,CABE-Marwah Complex (Private Charger-Green Energy Powered),3.907,6,0.5712,98.73
13306,Fairmont Powai (Private Charger - Green Energy Powered),1.275,6,0.5762,98.72
13307,Kensington Powai (Private Charger- Green Energy Powered),1.357,5,0.5789,98.71
14685,L And T TC IV Powai (Private Charger-Green Energy Powered),3.641,7,0.581,98.71
14599,"Castle Rock, Powai (Private Charger-Green Energy Powered)",1.393,11,0.5853,98.7
14590,Blue Heaven CHS Chandivali (Private Charger - Green Energy Powered),3.153,5,0.6064,98.65
14683,L&T Emerald Isle Powai (Private Charger - Green Energy Powered),3.642,6,0.6076,98.65
14739,Raj Paradise Andheri East (Private Charger - Green Energy Powered),4.223,5,0.6085,98.65
20576,MH | Andheri | Times Square - Nilkanth Tech Park,4.212,6,0.6145,98.63
14638,"Hill Crest CHSL, Farm Road (Private Charger-Green Energy Powered)",3.123,5,0.629,98.6
14718,Paradise CHSL Powai (Private Charger),3.158,5,0.6344,98.59
10831,Park Plus Charging Station,3.806,7,0.64,98.58
6461,EV DOCK Charging Station,4.424,5,0.6407,98.58
13764,Hotel Radisson Blu Marol Metro Station,4.733,5,0.6827,98.48
14686,"Lok Yamuna CHS, Andheri East (Private Charger-Green Energy Powered)",4.382,5,0.684,98.48
13728,Mirage Hotels Marol,4.929,5,0.6888,98.47
5634,Jio-BP Pulse Charging station,0.52,87,0.6895,98.47
5629,Jio-BP Pulse Charging station,4.702,5,0.6974,98.45
14682,"L&T AMN Tower, Powai ( Private Charger)",4.056,7,0.7121,98.42
13516,"Seven Hills Hospital, Andheri East (Private Charger - Green Energy Powered)",4.938,5,0.7132,98.42
13349,"Pratha NGO, Naydu Colony - Ghatkopar East",0.042,101,0.7438,98.35
19538,2000066-Shah Petroleum Products,0.703,132,1.0413,97.69
15229,Neelkanth Business Park Vidyavihar West (Green Energy Powered),1.547,129,1.155,97.43
5635,Jio-BP Pulse Charging station,1.569,129,1.176,97.39
14544,CR Lokmanya Tilak Station Kurla (Green Energy Powered),1.786,131,1.2077,97.32
14600,"Central Tower A to G CHSL, Chembur East (Private Charger-Green Energy Powered)",1.749,133,1.2081,97.32
20346,GLIDA GLIDA Phoenix Marketcity Kurla Charging Hub,2.579,129,1.2818,97.15
20344,GLIDA K Star Mall,1.761,149,1.2881,97.14
